Ref,Paper Title,Theme,Subtheme,Domain,Sample Size,Study Design,Study Type,main_contribution,tries_to_help_users_to,process_code,publication_type,year
P68,Designing privacy indicators for smartphone app markets: A new perspective on the nature of privacy risks of apps,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Software applications,37,Between-subjects design,Laboratory Experiment,"Present and experimentally test a new design for privacy indicators for apps in app markets - based in design warning theory, aiming for novel approaches for privacy risk communication in smartphone app markets",make informed decisions regarding app selection,"raising privacy awareness, making informed decision, communicating privacy risk",Conference Paper,2014
P69,Detecting and predicting privacy violations in online social networks,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Social Networks,-,-,-,"Propose PROTOSS (PRivacy viOlaTions in Online Social networkS), a run time tool to detect and predict possible privacy breaches in online social networks. It uses model checking to detect if relations among the users will result in the violation of privacy agreements. It is designed to perform semantic reasoning on its knowledge base to proactively identify and signal potential privacy risks, predicting possible violations before they occur and alerting users to safeguard their privacy.",take necessary actions to avoid privacy violations,"detecting possible privacy breaches, predicting privacy violations, signalling potential privacy risks",Journal Article,2014
P70,Detecting and resolving privacy conflicts for collaborative data sharing in online social networks,Controlling Information Disclosure,Managing Multiparty Privacy,Social Networks,30,Within-subjects design,Laboratory Experiment,Provide a systematic mechanism for collaborative data sharing to identify and resolve privacy conflicts. The conflict resolution indicates a tradeoff between privacy protection and data sharing by quantifying privacy risk and sharing loss.,have control over data residing outside their space,"managing multiparty privacy, resolving privacy conflict",Conference Paper,2011
P71,Does this App Really Need My Location?: Context-Aware Privacy Management for Smartphones,Controlling Information Disclosure,Managing App Permissions,Software applications,1321,NA,Experience Sampling Method (ESM),"Present the design and implementation of ProtectMyPrivacy for Android, which combines runtime instrumentation of stack traces and integration with the current Android permission mechanisms, to provide a new capability of purpose-based permissions specifically based on accesses by the apps or third-party libraries.",better protected from their data being sent to third-party libraries as compared to the current App-only model,managing app permission requests,Journal Article,2017
P72,ELVIRA: an Explainable Agent for Value and Utility-driven Multiuser Privacy,Controlling Information Disclosure,Managing Multiparty Privacy,Social Networks,233,Between-subjects design,Laboratory Experiment,"Present ELVIRA, an agent that supports multiuser privacy, providing explainability, role-agnosticism, adaptability, and being utility- and value-driven. By considering the sharing preferences and the moral values of users, ELVIRA identifies the optimal sharing policy.",collaboratively deal with Multiuser Privacy Conflicts (MPCs),"managing multiparty privacy, resolving privacy conflict",Conference Paper,2021
P73,Enabling user privacy in identity management systems,Controlling Information Disclosure,Managing Privacy Settings,Online Services,-,-,-,Propose a privacy module for user’s devices to automatically enforce privacy protection in identity management environments.,ensure control on their personal data and to automatically fulfil legislative requirements,"configuring privacy settings automatically, controlling information disclosure",Conference Paper,2010
P74,"Enhancing privacy through the visual design of privacy notices: Exploring the interplay of curiosity, control and affect",Improving Privacy Policy,Improving Privacy Policy Visual Presentation,Online Services,620,Between-subjects design,Online Experiment,Demonstrate that affect moderates the relationship between privacy concerns and disclosure and that visual design of privacy notices may have a beneficial influence on personal information disclosures,make more informed privacy decisions which are aligned with their beliefs,"controlling information disclosure, making informed decision, designing visually beneficial privacy notices",Conference Paper,2020
P75,Enhancing the privacy risk awareness of teenagers in online social networks through soft-paternalism mechanisms,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Social Networks,42,Between-subjects design,Field Study,Focus on providing soft-paternalism mechanisms that integrate a privacy risk estimation (PRS) of the action that users are going to perform. The proposed mechanisms “nudge” users to reconsider the disclosure actions before performing them.,make better decisions about actions in social networks that may increase their privacy risks,"raising privacy awareness, nudging privacy behaviour, estimating privacy risk, making informed decision",Journal Article,2019
P76,Estimation of privacy risk through centrality metrics,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Software applications,-,-,-,"Propose a Privacy Risk Score (PRS) for measuring privacy on social networks. It estimates the privacy risk of user-sharing actions by considering the audience's reachability, personalizes risk levels to individual perceptions, operates without requiring user interaction by analyzing information flows, and uses centrality metrics for approximating risk in data-restricted scenarios.",be aware of the reachability of their publications in the social network even though they have restricted the visibility of their publications,"raising privacy awareness, estimating privacy risk",Journal Article,2018
P77,Evaluation of the reliability of using the prototype PPMARK - A tool to support the computer human interaction in readings the privacy policies - Using the GQM and TAM models,Improving Privacy Policy,Improving Privacy Policy Readability,Online Services,40,NA,TAM,"Assess the users' confidence on the information extracted by the PPmark prototype, a tool proposed to support the reading of privacy policies - using the GQM and TAM models",understand policy terms and encourage them to pay attention to what is being collected,"improving comprehensibility of privacy policies, raising privacy awareness, parsing privacy policies, supporting the reading of privacy policies",Conference Paper,2017
P78,Expectation and purpose: understanding users' mental models of mobile app privacy through crowdsourcing,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Software applications,67,Between-subjects design,Online Experiment,Proposed a new privacy summary interface that emphasizes (app) behaviors that did not match the crowd’s expectations - where mobile apps break people's expectation about an app does or does not do.,make better trust decision,"raising privacy awareness, making informed decision, communicating privacy risks",Conference Paper,2012
P79,Explainable and Personalized Privacy Prediction,Controlling Information Disclosure,Managing Privacy Settings,Social Networks,-,-,-,Propose a configurable privacy prediction system to classify images (public or private) that accommodates personalization which enables the users to include their privacy preferences.,include their privacy preferences and tweak the system according to their requirements,"predicting privacy of images, managing privacy settings",Conference Paper,2021
P80,Extending Layered Privacy Language to Support Privacy Icons for a Personal Privacy Policy User Interface,Improving Privacy Policy,Improving Privacy Policy Visual Presentation,Online Services,10,Between-subjects design,Laboratory Experiment,Present an extension for the Layered Privacy Language (LPL) to support multi-lingual human-readable descriptions and privacy icons.,make informed consent,"supporting privacy policies with icons, making informed consent",Conference Paper,2018
P81,Eyeing your exposure: quantifying and controlling information sharing for improved privacy,Controlling Information Disclosure,Managing Privacy Settings,Software applications,40,Between-subjects design,Laboratory Experiment,Present an unobtrusive and intuitive ambient interface based on the metaphor of eyes for providing exposure feedback and reactive sharing controls to users of context sharing applications.,better reign in excessive sharing and improve their privacy / take actions to limit their exposure,"controlling information disclosure, managing OSN privacy settings",Conference Paper,2011
P82,Finding a Choice in a Haystack: Automatic Extraction of Opt-Out Statements from Privacy Policy Text,Controlling Information Disclosure,Managing Privacy Settings,Online Services,8,Between-subjects design,Laboratory Experiment,A method for the automated detection of opt-out choices in privacy policy text and their presentation to users through a web browser extension.,make use of these opt-out choices,managing privacy settings,Conference Paper,2020
P83,Follow My Recommendations: A Personalized Privacy Assistant for Mobile App Permissions,Controlling Information Disclosure,Managing App Permissions,Software applications,72,Between-subjects design,Field Study,Propose a methodology to learn privacy profiles for permission settings and leverage them in a personalised privacy assistant that actively supports users in configuring their permission settings. The personalised privacy assistant recommends permission settings based on the user's installed apps and elicited privacy preferences.,benefit from a personalized privacy assistant that provides them with recommendations for privacy configuration,"managing app permissions requests, recommending permission settings",Conference Paper,2016
P84,Formal specification and verification of user-centric privacy policies for ubiquitous systems,Controlling Information Disclosure,Managing Privacy Settings,Internet of Things,-,-,-,Extend the concept of contextual integrity to provide mathematical models and algorithms that enables the creations and management of privacy norms for individual users. The formalization and verification engine performs formal reasoning about the user’s privacy rules to detect privacy violations.,create and manage their privacy privacy norms,"sharing information based on privacy norms, detecting privacy violations, creating privacy norms for privacy rules",Conference Paper,2019
P85,From Design Requirements to Effective Privacy Notifications: Empowering Users of Online Services to Make Informed Decisions,Raising Privacy Awareness,Visualising Disclosed Information,Software applications,16,Within-subjects design,Laboratory Experiment,"Development of privacy notifications that enhance transparency in online data services, enabling users to see how their personal data is (have been) processed and empowering them to make informed decisions on intervening, specifically tailored for mobile phone ecosystems",make informed follow-up decisions to improve their privacy,"rasing privacy awareness, making informed decision, visualising disclosed information",Journal Article,2021
P86,From Tag to Protect: A Tag-Driven Policy Recommender System for Image Sharing,Controlling Information Disclosure,Managing Privacy Settings,Social Networks,71,Mixed,Laboratory Experiment,"Propose a privacy setting recommender system, called T2P (Tag-To-Protect), to help people effortlessly set up the privacy settings for their online images.",be released from the burden of defining and customizing privacy policy settings,"recommending privacy settings, managing OSN privacy settings",Conference Paper,2018
P87,Have you been properly notified? automatic compliance analysis of privacy policy text with GDPR article 13,Improving Privacy Policy,Advancing Privacy Policy Assessment,Online Services,10,Between-subjects design,Laboratory Experiment,"Propose an approach to automatically analyse the privacy policy contents and report violations against GDPR (Article 13),  realising it through an web-based tool named AutoCompliance.",find and understand the compliance issues in privacy policies / relieve efforts in checking the compliance of privacy policies in accordance with GDPR Article 13,"analysing privacy policies, assessing privacy policies, improving information-seeking experience",Conference Paper,2021
P88,Helping john to make informed decisions on using social login,Controlling Information Disclosure,Managing Privacy Settings,Online Services,80,Between-subjects design,Laboratory Experiment,"Develop and evaluate the means to empower users to make informed decisions, in the context of the social login methods by developing and testing a tutorial and an 'Drag and Drop' and 'Question and Answer' UI concepts for informed consent on personal information sharing.",make informed decisions in the context of signing up for an SP using a social network as an IdP,"making informed decision, managing consent requests",Conference Paper,2018
P89,Helping Users Managing Context-based Privacy Preferences,Controlling Information Disclosure,Managing Privacy Settings,Online Services,-,-,-,"Design a service helping users to manage privacy preferences settings when they move from one context to another, since defining privacy preferences becomes more complex due to the context-dependent nature of services (location, time, etc.).",manage their privacy preferences setting under different contexts,managing privacy settings,Conference Paper,2019
P90,HideMe: Privacy-Preserving Photo Sharing on Social Networks,Controlling Information Disclosure,Managing Multiparty Privacy,Social Networks,860,NA,Online Survey,"Propose the design, implementation and evaluation of HideMe, a framework to preserve the associated users’ privacy for online photo sharing",hide their faces on related photos from unwanted viewers by one time policy generation,managing multiparty privacy,Conference Paper,2019
P91,"If you can't beat them, join them"": A usability approach to interdependent privacy in cloud apps",Controlling Information Disclosure,Managing Multiparty Privacy,Software applications,141,Between-subjects design,Online Experiment,"Present history-based Insights as an important technique within the movement from static privacy indicators towards dynamic privacy assistants that lead users to data-driven privacy decisions. Users are informed at decision time about the vendors which have been previously granted access to their data, including through collaborators in collaborative platforms (interdependent privacy).",reduce privacy loss on herself and on her collaborators too,"managing interdependent privacy, making informed decision",Conference Paper,2017
P92,"If you can't measure it, you can't manage it: Towards quantification of privacy policies",Improving Privacy Policy,Advancing Privacy Policy Assessment,Software applications,-,-,-,Propose an approach to quantify the amount of data collection of an application by analyzing its privacy policy text using natural language processing (NLP) techniques,compare different application alternatives based on their data-gathering practices.,"analysing privacy policies, comparing privacy policies",Conference Paper,2017
P93,Incognitus: Privacy-Preserving User Interests in Online Social Networks,Controlling Information Disclosure,Managing Privacy Settings,Social Networks,-,-,-,Propose Incognitus: an approach to allow users browse Pages of OSNs without disclosing their interests or activity to the service provider,receive updates about privacy-sensitive issues that may not be willing to disclose their personal preferences and interests,"controlling information disclosure, managing personal preferences",Journal Article,2019
P94,Incorporating individual and group privacy preferences in the internet of things,Controlling Information Disclosure,Managing Privacy Settings,Internet of Things,-,-,-,Propose a privacy negotiation mechanism to allow IoT users to automatically express and enforce their personal privacy preferences while interacting with IoT deployments.,negotiate their privacy preferences seamlessness in a IoT deployment,"negotiating permissions, configuring permissions automatically",Journal Article,2022
P95,Increasing Service Users’ Privacy Awareness by Introducing On-Line Interactive Privacy Features,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Online Services,100,Mixed,Laboratory Experiment,"Introduces the concept of On-line Interactive (OI) privacy feature which is defined as any on-line interactive tool, component or user-interface that creates privacy awareness and supports users in understanding their on-line privacy risks",make clearer on-line disclosure choices,"raising privacy awareness, controlling information disclosure, making informed decision, understanding privacy risk",Conference Paper,2012
P96,Information flows as a permission mechanism,Controlling Information Disclosure,Managing App Permissions,Software applications,540,NA,Online Survey,Propose a new permission mechanism based on information flows between permission domains within an app and across multiple apps. It aims to make visible the behaviour of applications on a user's phone by developing a static analysis engine and modifying Android’s permission system to detect and manage application flows.,decide on whether to install or not an app,"managing app permission requests, making informed decision",Conference Paper,2014
P97,Interaction and Visualization Design for User Privacy Interface on Online Social Networks,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Social Networks,15,Between-subjects design,Laboratory Experiment,"Propose a visual model for representing and protecting the privacy of online social network users. The privacy exposure model quantifies risk through five dimensions—Who is included, What is shared, When it is created, Where it is created, and Whom it targets—allowing for a more objective assessment of privacy risks.",be more aware of privacy changes and to understand policy options easier,"raising privacy awareness,  exposing privacy risk",Journal Article,2020
P98,Introducing privacy threats from ad libraries to android users through privacy granules,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Software applications,409,Mixed,Online Survey,Propose a novel icon-based privacy threat representation as an alternative to permissions list that shows privacy threats to users from both app providers and associated ad libraries.,make an informed decision during app installation,"managing app permission requests, making informed decision, representing privacy threat",Conference Paper,2015
P99,IoT Service Store: A Web-based System for Privacy-aware IoT Service Discovery and Interaction,Controlling Information Disclosure,Managing Privacy Settings,Internet of Things,-,-,-,"Propose a design and implementation of a novel web-based system called IoT Service Store (ISS) that allows users to easily browse nearby IoT services, understand the privacy implications of these IoT services, and control the collection and usage of sensor data.",comprehend the privacy implications of nearby IoT services through gaining a better understanding of the data collected and possible inferences that may be drawn from this data,"making informed decision, controlling information disclosure, raising privacy awareness, managing privacy settings of smart devices",Conference Paper,2018
P100,IPAM: Information Privacy Assessment Metric in Microblogging Online Social Networks,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Social Networks,-,-,-,"Develop an algorithmic model to compute privacy scores based on the impact of privacy and security requirements, accessibility, and difficulty of information extraction",measure how much the system is protecting privacy,"raising privacy awareness, computing privacy score of a system",Journal Article,2019
P101,Is Your Home Becoming a Spy? A Data-Centered Analysis and Classification of Smart Connected Home Systems,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Internet of Things,-,-,-,"Propose a novel privacy-grounded classification of smart connected home systems that are focused on personal data exposure, which is considered an important precursor for the assessment of privacy risks targeting smart home residents.",better understand the privacy implications and what is at stake with different smart connected home systems.,"raising privacy awareness, computing privacy score of a system",Conference Paper,2020
P102,Knapsack graph-based privacy checking for smart environments,Controlling Information Disclosure,Managing Privacy Settings,Internet of Things,30,Between-subjects design,Laboratory Experiment,"The privacy checking problem is envisaged as a knapsack problem - proposed a privacy provision model for smart environments that relaxes the privacy preference such that the benefits of enabling the service type are maximized while simultaneously minimizing the user dissatisfaction. The system matches services to user privacy preferences and provider policies, offering recommendations based on user tolerance or optimizing suggestions by adjusting these values.",relax privacy preferences when beneficial to her,"recommending privacy settings, managing privacy settings in smart environments",Journal Article,2021
P103,KnIGHT: Mapping Privacy Policies to GDPR,Improving Privacy Policy,Improving Privacy Policy Readability,Online Services,2,NA,Task Analysis,"Presented KnIGHT, a tool for automatic mapping of privacy policies to GDPR - it exploits semantic similarity between words to associate the privacy policy sentences to the corresponding paragraphs in GDPR.",understand their usage risks and rights as data subjects,"understanding risks, parsing privacy policies",Conference Paper,2018
P104,LAMP - Label-based access-control for more privacy in online social networks,Controlling Information Disclosure,Managing Multiparty Privacy,Social Networks,-,-,-,"Propose LAMP, a model that deploys fine-grained label based access control for information sharing in OSNs. The proposed model considers relationships between objects in an OSN and allows their control at an atomic ownership level, simplifying as such the complexity of addressing data co-ownership of integral elements over which conflictual access policies may be specified.",be in full control over data they create at a fine granularity level,"controlling information disclosure, managing OSN privacy settings, managing multiparty privacy settings",Conference Paper,2016
P105,Learning privacy rules cooperatively in online social networks,Controlling Information Disclosure,Managing Privacy Settings,Social Networks,-,-,-,Proposes an approach that suggests privacy configurations for each post - a multiagent system architecture where agents of the users consult other users’ agents about possible privacy rules they can take into account,manage her privacy,"managing OSN privacy settings, recommending privacy settings",Conference Paper,2016
P106,Let Users Control Their Data – Privacy Policy-Based User Interface Design,Improving Privacy Policy,Advancing Privacy Policy Assessment,Online Services,-,-,-,"Introduce user interaction schemes for fine-grained consent management based upon LPL (Layered Privacy Language) as well as a user interface prototype incorporating such functionality. LPL serves as the base for personalization of privacy policies by users allowing Purpose Consent (PC), Data Dissent (DD) and Data Recipient Dissent (DRD)",have control over the processing of its personal data,"controlling information disclosure, personalising privacy policies, managing consent requests",Conference Paper,2020
P107,Location Privacy for Crowdsourcing Applications,Controlling Information Disclosure,Managing Privacy Settings,Software applications,-,-,-,"Present PROMPT, a privacy-preserving framework that runs locally on mobile devices and enables individuals to evaluate their privacy exposure before sharing geo-located data, trading off the risks of sharing and privacy exposure",evaluate locally the risks of exposing geo-located information,managing location privacy settings,Conference Paper,2016
P108,Location privacy protection for smartphone users,Controlling Information Disclosure,Managing App Permissions,Software applications,100,NA,Online Survey,"Design, implement, and evaluate LP-Guardian, a novel and comprehensive framework for location privacy protection for Android smartphone users. It aims to overcome the shortcomings of existing approaches by addressing the tracking, profiling, and identification threats while maintaining app functionality.",hide sensitive places and make the user’s mobility pattern indistinguishable,managing location privacy settings in Android apps,Conference Paper,2014
P109,Make users own their data: a decentralized personal data store prototype based on Ethereum and IPFS,Controlling Information Disclosure,Managing Privacy Settings,Internet of Things,-,-,-,"Present a particular deployment of a Personal Data Store, in the sense of a technological framework which aims at solving the problem of personal data storing, protection and privacy","manage their data/device access, their privacy levels, and grant or deny sharing consent, every time services ask for personal data","managing personal data storage, managing consent requests",Conference Paper,2018
P110,Mining Privacy Settings to Find Optimal Privacy-Utility Tradeoffs for Social Network Services,Controlling Information Disclosure,Managing Privacy Settings,Social Networks,-,-,-,Propose a framework for users to conveniently tune the privacy settings towards the user desired privacy level and social utilities. A tradeoff algorithm is developed for helping users find the optimal privacy settings for a specified level of privacy concern and a personalized utility preference.,find the optimal privacy configuration based on the desired privacy level and utility preference,"managing OSN privacy settings, recommending privacy settings",Conference Paper,2012
P111,Moving beyond set-it-and-forget-it privacy settings on social media,Controlling Information Disclosure,Managing Privacy Settings,Social Networks,78,Between-subjects design,Online Experiment,"Design a classifier to identify posts with currently incorrect sharing settings, aiming to develop a human-in-the-loop retrospective privacy-protection system.","find posts they wish to limit sharing, based on a human-in-the-loop system, rather than building a fully automatic post manager","managing OSN privacy settings, revisiting privacy settings",Conference Paper,2019
P112,Multi-view permission risk notification for smartphone system,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Software applications,200,Within-subjects design,Online Experiment,Propose a novel customised permission notification model based on users' preferences and background and develop a multiview model that provides users with a set of views of privacy risks notification interfaces for installed apps on devices.,making informed decision regarding permission control,"managing app permission requests, making informed decision, notifying privacy risk",Journal Article,2019
P113,Multiparty access control for online social networks: Model and mechanisms,Controlling Information Disclosure,Managing Multiparty Privacy,Social Networks,35,NA,Online Experiment,"Propose an approach to enable the protection of shared data associated with multiple users in OSNs.This approach formulates an access control model to capture the essence of multiparty authorization requirements, along with a multiparty policy specification scheme and a policy enforcement mechanism.",specify their authorization policies and privacy preferences to co-control a shared data item,managing multiparty privacy,Journal Article,2013
P114,Negotiating privacy constraints in online social networks,Controlling Information Disclosure,Managing Multiparty Privacy,Social Networks,-,-,-,"Develop a framework in which agents can negotiate their privacy constraints. The agent, understanding the user's privacy concerns and social network, negotiates with other users' agents before posting content to ensure that the shared material respects everyone's privacy constraints.",agree on the content shared before it went up,"managing multiparty privacy, negotiating privacy constraints",Conference Paper,2015
P115,No technical understanding required: Helping users make informed choices about access to their personal data,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Software applications,125,NA,Online Survey,Present a permissions interface to include a quantitative measure (sensitivity score) of an app’s ability to disclose personal information and to highlight the relevant permissions that contributed to this score in order to focus the user’s attention on permissions that have the ability to access personal data,better understand access to their personal data,"raising privacy awareness, managing app permissions, calculating privacy risk",Conference Paper,2014
P116,Norm-based Access Control,Controlling Information Disclosure,Managing Multiparty Privacy,Social Networks,-,-,-,Describe the principles of norm-based access control and develops an approach named Prinor where access control decisions can be taken based on the norms that are generated from the previous privacy decisions in the system.  It is argued that observing emerging privacy norms in systems for collective decision-making is a more practical approach than other resolution mechanisms for sharing co-owned content.,choose between enforcing personal privacy settings and following the norms in the system,"managing multiparty privacy, sharing information based on privacy norms",Conference Paper,2020
P117,Nudging the User with Privacy Indicator: A Study on the App Selection Behavior of the User,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Software applications,82,Between-subjects design,Laboratory Experiment,"Present a design, implementation and evaluation processes of an indicator as an ex-ante privacy indicating cue for the app-store, for app selection scenarios.",make privacy-preserving decision-making,"raising privacy awareness, nudging privacy behaviour, assisting users in app selection, making informed decision",Conference Paper,2020
P118,On a (Per)Mission: Building Privacy Into the App Marketplace,Controlling Information Disclosure,Managing App Permissions,Software applications,160,NA,Online Survey,"Present both an app marketplace and a permission management assistant that incorporate privacy information as a key element, in the form of permission ratings.",manage permissions,managing app permission requests,Conference Paper,2016
P119,OnLITE: On-line Label for IoT Transparency Enhancement,Improving Privacy Policy,Advancing Privacy Policy Assessment,Internet of Things,15,NA,Task Analysis,"Present a privacy transparency tool that helps non-expert consumers understand and compare how Internet of Things (IoT) devices handle data. The solution summarises key privacy facts and visualises information flows in a way that facilitates quick assessments, even for large data sets.",make informed decisions when choosing IoT devices.,"raising privacy awareness, making informed decision, comparing devices, visualising privacy facts",Conference Paper,2021
P120,PACMAN: Personal Agent for Access Control in Social Media,Controlling Information Disclosure,Managing Privacy Settings,Social Networks,26,Within-subjects design,Laboratory Experiment,"Propose a personal assistant agent that recommends personalized access control decisions based on the social context of any information disclosure by incorporating communities generated from the network structure of the user and utilizing information in their profiles, in addition to the particular content to be shared in the social network.",be assisted by recommendation systems which can guide them towards the appropriate access control decisions,"managing OSN privacy settings, recommending privacy settings",Journal Article,2017
P121,PANOLA: A Personal Assistant for Supporting Users in Preserving Privacy,Controlling Information Disclosure,Managing Multiparty Privacy,Social Networks,-,-,-,"Present Privacy Auctioning Learning Agent (PANOLA), which acts as a personal assistant to users in situations where a piece of co-owned content is being shared. When some content that belongs to multiple users is about to be shared, the personal assistants of the users employ an auction-based privacy mechanism to regulate the privacy of the content.",manage the privacy of their content that belongs to multiple users,managing multiparty privacy,Journal Article,2021
P122,PARA: Privacy Management and Control in Emerging IoT Ecosystems using Augmented Reality,Controlling Information Disclosure,Managing Privacy Settings,Internet of Things,32,Mixed,Laboratory Experiment,Present a novel AR privacy management interface (PARA) that uses AR visualization to contextualize data disclosure on smart devices and improve user’s perceptions of privacy threats.,users can safeguard their privacy without compromising the devices’ functionality,"managing smart devices privacy settings, controlling information disclosure",Conference Paper,2021
P123,Partial Consent: A Study on User Preference for Informed Consent,Controlling Information Disclosure,Managing App Permissions,Software applications,31,Within-subjects design,Online Experiment,"Evaluates the use, acceptance and desirability of consenting with partial consent. An app was developed allowing users to control their data exposure through a 'Maybe' button, offering a more nuanced option than the standard allow/deny choices and enabling reassessment of privacy-service trade-offs after time-limited consents expire.",contemplate on the probable consequence and thus potentially allowing them reassessing the decisions taken earlier,"controlling information disclosure, managing app permission requests, making informed decision",Journal Article,2021
P124,Pattern-based incorporation of privacy preferences into privacy policies: Negotiating the conflicting needs of service providers and end-users,Controlling Information Disclosure,Managing Privacy Settings,Online Services,10,NA,Formative Feedback,"Examine the gap between service providers and end-users regarding privacy policies, proposing a pattern, the ""Privacy Policy Options"" (PPO) that aligns with GDPR requirements to enhance user understanding and allow data processing adjustments. ",specify their privacy preferences,"managing privacy settings, improving comprehensibility of privacy policies",Conference Paper,2019
P125,PDVLoc: A personal data vault for controlled location data sharing,Controlling Information Disclosure,Managing Privacy Settings,Social Networks,19,Within-subjects design,Field Study,"Develop a framework for controlled location data sharing called PDVLoc. PDVLoc is a Personal Data Vault (PDV) for location-based mobile services. PDVLoc utilises a rule recommender to precalculate constraints for predefined privacy policies, streamline policy configuration, and educate users on the risks of location data sharing by displaying potentially inferable information from their location data.",keep privacy settings that match users’ intent,"managing location privacy settings, managing personal data storage, raising privacy awareness",Journal Article,2014
P126,Perman: Fine-Grained Permission Management for Android Applications,Controlling Information Disclosure,Managing App Permissions,Software applications,-,-,-,"Design Perman, a fine-grained permission management system for Thirdy-party libraries (3PL)-apps. The tool allows users to manage permissions of different modules (i.e., a 3PL or the host app) at app at runtime","manage permissions in module granularity during app runtime,",managing app permission requests,Conference Paper,2017
P127,Permissions plugins as android apps,Controlling Information Disclosure,Managing App Permissions,Software applications,-,-,-,"Propose Dalf, a permission framework for Android for extensible permissions plugins that provides both flexibility and isolation. With Dalf, users may install plugins to mediate resource requests made by apps. Each time an app tries to access a resource, Dalf will pass the request to the plugin mediating that app-resource combination.",install plugins to mediate resource requests made by apps,managing app permission requests,Journal Article,2019
P128,Personal Data Vaults: A Locus of Control for Personal Data Streams,Controlling Information Disclosure,Managing Privacy Settings,Software applications,-,-,-,"Present Personal Data Vaults (PDVs), a privacy architecture in which individuals retain ownership of their data. It decouples the capture and archiving of personal data streams from the sharing of that information",understand the implications of different privacy choices and informs decisions about data sharing.,"making informed decision, managing personal data storage, retaining ownership of data",Conference Paper,2010
P129,Personalized Privacy-aware Image Classification,Controlling Information Disclosure,Managing Privacy Settings,Social Networks,-,-,-,"Introduce a system that performs image privacy scoring and classification, providing an effective privacy safeguarding mechanism on top of image-sharing in OSN. The model, utilising small amounts of user feedback, provides significantly better performance than generic models.",be empowered in their relations to social networks and third parties connected to them.,"managing OSN privacy settings, configuring privacy settings for image sharing",Conference Paper,2016
P130,PERUIM: Understanding mobile application privacy with permission-UI mapping,Controlling Information Disclosure,Managing App Permissions,Software applications,-,-,-,"Propose PERUIM to extract the permission-UI mapping from an application based on both dynamic and static analysis, and represent the analysis results with a graphical representation.",better understand how and why permissions are used within a mobile application,"managing app permission requests, making informed decision",Conference Paper,2016
P131,PHIN: A Privacy Protected Heterogeneous IoT Network,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Internet of Things,-,-,-,"Propose a new privacy protection framework, called Protected Heterogeneous IoT Network (PHIN), that aims to identify privacy risks associated with adding a new IoT device to the network and notifying the user about those risks",understand privacy risks and make educated decisions before deploying a new IoT device in a network,"raising privacy awareness, calculating the privacy risk of smart device, making informed decision",Conference Paper,2021
P132,Policy resolution of shared data in online social networks,Controlling Information Disclosure,Managing Multiparty Privacy,Social Networks,-,-,-,Propose a set of rules to be incorporated to safeguard the privacy policies of related users while sharing information and other forms of media online,limit the visibility of the shared content that they are co-owner from the unintended audience in case they find it sensitive in nature,managing multiparty privacy,Journal Article,2020
P133,Polisis: Automated Analysis and Presentation of Privacy Policies Using Deep Learning,Improving Privacy Policy,Improving Privacy Policy Readability,Online Services,700,Between-subjects design,Online Experiment,"Design and implement Polisis, an approach for automatically annotating previously unseen privacy policies with high-level and fine-grained labels from a prespecified taxonomy",understand the content of privacy policies at scale,"understanding the content of privacy policies, parsing privacy policies",Conference Paper,2018
P134,Prediction of Mobile App Privacy Preferences with User Profiles via Federated Learning,Controlling Information Disclosure,Managing App Permissions,Software applications,-,-,-,Present methods for generating privacy profiles and using these to predict user’s answers to permission requests in mobile devices,reduce the amount of input required from the user,"recommending privacy settings, managing app permission requests",Conference Paper,2022
P135,Preserving privacy as social responsibility in online social networks,Controlling Information Disclosure,Managing Multiparty Privacy,Social Networks,-,-,-,Develops a reciprocity based negotiation for reaching privacy agreements among users and introduces a negotiation architecture that combines semantic privacy rules with utility functions,"help each other preserve their privacy, viewing this as their social responsibility","managing multiparty privacy, resolving privacy conflict",Journal Article,2018
P136,Preventative Nudges: Introducing Risk Cues for Supporting Online Self-Disclosure Decisions,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Social Networks,281,NA,Online Survey,"Propose the use of risk cues as a strategy for supporting self-disclosure decisions in Social Network Sites (SNSs). Emphasising the importance of risk scenarios in social networking sites to improve user awareness and encourage safer privacy decisions, it presents the design of preventative nudges to provide individual privacy support and guidance in SNSs.",know about the risks of unsafe self-disclosure practices,"raising privacy awareness, nudging privacy behaviour, communicating risk, making informed decision, assessing risk scenarios",Conference Paper,2020
